"Estado","emp","seg","dep","PL","lucros","gov_ca","gov_cf","gov_aud","maior_rem","plr_rva","qde_empregados","desp_investimento","desp_pessoal","Dividendos","Subvenção","Reforço de Capital","Resultado para o Estado Acionista","setor","Nome_estado","REGIAO","gov","result_NA","ROE","PL_formatado","Empresa","cat_ROE","setores_principais","sinal_ROE"
"CE","EMPRESA DE TECNOLOGIA DA INFORMAÇÃO DO CEARA - ETICE","COMUNICAÇÕES","Dependente",6727981.21,523421.4,"SIM","SIM","NÃO",NA,"Não",166,5255810.75,26407229.83,0,30587551.55,0,-30587551.55,"INFORMÁTICA","Ceará","Nordeste",FALSE,FALSE,0.0777976905200067,"     6.727.981,21","EMPRESA DE TECNOLOGIA DA INFORMAÇÃO DO CEARA - ETICE (CE)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: INFORMÁTICA
PL: R$      6.727.981,21
Lucros / Prejuízos no ano: R$       523.421,40
ROE: 7.7800%","pos","INFORMÁTICA","Positivo"
"DF","BIOTIC S.A. (TERRACAP)","OUTRO","Não Dependente",8457175.87,0,"SIM","SIM","SIM","54046.18","Sim",18,0,7601678.6,0,0,4408219.53,-4408219.53,"OUTROS","Distrito Federal","Centro-oeste",TRUE,FALSE,0,"     8.457.175,87","BIOTIC S.A. (TERRACAP) (DF)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: OUTROS
PL: R$      8.457.175,87
Lucros / Prejuízos no ano: R$             0,00
ROE: 0.0000%","neg","OUTROS","Negativo"
"DF","BRB - BANCO DE BRASÍLIA S.A.","FINANCEIRO","Não Dependente",1737325,418836,"SIM","SIM","SIM","49172.12","Sim",2926,52162,914851,88617348.18,0,0,88617348.18,"FINANCEIRO","Distrito Federal","Centro-oeste",TRUE,FALSE,0.241080972184249,"     1.737.325,00","BRB - BANCO DE BRASÍLIA S.A. (DF)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: FINANCEIRO
PL: R$      1.737.325,00
Lucros / Prejuízos no ano: R$       418.836,00
ROE: 24.1100%","pos","FINANCEIRO","Positivo"
"DF","BRB - CRÉDITO FINANCIAMENTO E INVESTIMENTO S.A.","FINANCEIRO","Não Dependente",215550,69817,"SIM","SIM","SIM","29333.56","Sim",46,NA,1613,0,0,61705,-61705,"FINANCEIRO","Distrito Federal","Centro-oeste",TRUE,FALSE,0.323901646949664,"       215.550,00","BRB - CRÉDITO FINANCIAMENTO E INVESTIMENTO S.A. (DF)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: FINANCEIRO
PL: R$        215.550,00
Lucros / Prejuízos no ano: R$        69.817,00
ROE: 32.3900%","pos","FINANCEIRO","Positivo"
"DF","BRB - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.","FINANCEIRO","Não Dependente",48426,2178,"SIM","SIM","SIM","29333.56","Sim",32,NA,1532,0,0,0,NA,"FINANCEIRO","Distrito Federal","Centro-oeste",TRUE,TRUE,0.0449758394251022,"        48.426,00","BRB - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A. (DF)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: FINANCEIRO
PL: R$         48.426,00
Lucros / Prejuízos no ano: R$         2.178,00
ROE: 4.5000%","pos","FINANCEIRO","Positivo"
"DF","BRB ADMINISTRADORA E CORRETORA DE SEGUROS S.A.","FINANCEIRO","Não Dependente",119388,70366,"SIM","SIM","SIM","23600","Sim",254,4719,31281,0,0,0,NA,"FINANCEIRO","Distrito Federal","Centro-oeste",TRUE,TRUE,0.589389218346902,"       119.388,00","BRB ADMINISTRADORA E CORRETORA DE SEGUROS S.A. (DF)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: FINANCEIRO
PL: R$        119.388,00
Lucros / Prejuízos no ano: R$        70.366,00
ROE: 58.9400%","bem_pos","FINANCEIRO","Positivo"
"DF","BRB SERVIÇOS S.A.","OUTRO","Não Dependente",8214,4207,"SIM","SIM","SIM","10757.65","Sim",793,1708,21069,0,0,0,NA,"FINANCEIRO","Distrito Federal","Centro-oeste",TRUE,TRUE,0.512174336498661,"         8.214,00","BRB SERVIÇOS S.A. (DF)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: FINANCEIRO
PL: R$          8.214,00
Lucros / Prejuízos no ano: R$         4.207,00
ROE: 51.2200%","bem_pos","FINANCEIRO","Positivo"
"DF","CARTÃO BRB S.A.","FINANCEIRO","Não Dependente",535543,100377,"SIM","SIM","SIM","24996.85","Sim",180,NA,31512,0,0,0,NA,"FINANCEIRO","Distrito Federal","Centro-oeste",TRUE,TRUE,0.187430327723451,"       535.543,00","CARTÃO BRB S.A. (DF)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: FINANCEIRO
PL: R$        535.543,00
Lucros / Prejuízos no ano: R$       100.377,00
ROE: 18.7400%","pos","FINANCEIRO","Positivo"
"DF","CENTRAIS DE ABASTECIMENTO DO DISTRITO FEDERAL S.A - CEASA","ABASTECIMENTO","Não Dependente",62275650.97,4049034.07,"SIM","SIM","NÃO","15243.74","Não",58,9025303.47,6778271.98,0,0,0,NA,"ABASTECIMENTO","Distrito Federal","Centro-oeste",FALSE,TRUE,0.0650179324813568,"    62.275.650,97","CENTRAIS DE ABASTECIMENTO DO DISTRITO FEDERAL S.A - CEASA (DF)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Não
Setor: ABASTECIMENTO
PL: R$     62.275.650,97
Lucros / Prejuízos no ano: R$     4.049.034,07
ROE: 6.5000%","pos","ABASTECIMENTO","Positivo"
"DF","COMPANHIA DE DESENVOLVIMENTO HABITACIONAL DO DISTRITO FEDERAL - CODHAB","URBANIZAÇÃO","Dependente",121015025.47,-11412901.35,"SIM","SIM","SIM","18200","Não",0,0,13758810.04,0,27991658.06,0,-27991658.06,"HABITAÇÃO E URBANIZAÇÃO","Distrito Federal","Centro-oeste",TRUE,FALSE,-0.094309787612525,"   121.015.025,47","COMPANHIA DE DESENVOLVIMENTO HABITACIONAL DO DISTRITO FEDERAL - CODHAB (DF)
Dependência: Dependente
Possui todas as estruturas de Governança? Sim
Setor: HABITAÇÃO E URBANIZAÇÃO
PL: R$    121.015.025,47
Lucros / Prejuízos no ano: R$   -11.412.901,35
ROE: -9.4300%","neg","HABITAÇÃO E URBANIZAÇÃO","Negativo"
"DF","COMPANHIA DE SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL  - CAESB","SANEAMENTO","Não Dependente",1404805227.72,149002360.68,"SIM","SIM","SIM","35462.22","Não",2311,268925696.51,756794611.61,0,17688478.19,15673253.07,-33361731.26,"SANEAMENTO","Distrito Federal","Centro-oeste",TRUE,FALSE,0.106066206004822," 1.404.805.227,72","COMPANHIA DE SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL  - CAESB (DF)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: SANEAMENTO
PL: R$  1.404.805.227,72
Lucros / Prejuízos no ano: R$   149.002.360,68
ROE: 10.6100%","pos","SANEAMENTO","Positivo"
"DF","COMPANHIA DO METROPOLITANO DO DISTRITO FEDERAL - METRÔ-DF","TRANSPORTES","Dependente",1951743230.69,-132263066.41,"SIM","SIM","SIM","35462.22","Não",1241,22097215.7,205294511.44,0,228936011.74,19595942.49,-248531954.23,"TRANSPORTES","Distrito Federal","Centro-oeste",TRUE,FALSE,-0.0677666325827302," 1.951.743.230,69","COMPANHIA DO METROPOLITANO DO DISTRITO FEDERAL - METRÔ-DF (DF)
Dependência: Dependente
Possui todas as estruturas de Governança? Sim
Setor: TRANSPORTES
PL: R$  1.951.743.230,69
Lucros / Prejuízos no ano: R$  -132.263.066,41
ROE: -6.7800%","neg","TRANSPORTES","Negativo"
"DF","COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB (Holding)","ENERGIA","Não Dependente",783986000,119045000,"SIM","SIM","SIM","35000","Sim",60,75378000,224368000,0,0,0,NA,"ENERGIA","Distrito Federal","Centro-oeste",TRUE,TRUE,0.151845823777465,"   783.986.000,00","COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB (Holding) (DF)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: ENERGIA
PL: R$    783.986.000,00
Lucros / Prejuízos no ano: R$   119.045.000,00
ROE: 15.1800%","pos","ENERGIA","Positivo"
"DF","COMPANHIA IMOBILIÁRIA DE BRASÍLIA - TERRACAP","OUTRO","Não Dependente",2909676667,170701242,"SIM","SIM","SIM","51740.21","Sim",594,48507992,2364674.45,0,0,0,NA,"HABITAÇÃO E URBANIZAÇÃO","Distrito Federal","Centro-oeste",TRUE,TRUE,0.0586667391384075," 2.909.676.667,00","COMPANHIA IMOBILIÁRIA DE BRASÍLIA - TERRACAP (DF)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: HABITAÇÃO E URBANIZAÇÃO
PL: R$  2.909.676.667,00
Lucros / Prejuízos no ano: R$   170.701.242,00
ROE: 5.8700%","pos","HABITAÇÃO E URBANIZAÇÃO","Positivo"
"DF","COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL - NOVACAP","URBANIZAÇÃO","Dependente",630252419.23,-2372388.41,"SIM","SIM","NÃO","50863.6","Não",2152,8021010.2,380066688.37,0,786327378.67,802101.02,-787129479.69,"HABITAÇÃO E URBANIZAÇÃO","Distrito Federal","Centro-oeste",FALSE,FALSE,-0.00376418770894751,"   630.252.419,23","COMPANHIA URBANIZADORA DA NOVA CAPITAL DO BRASIL - NOVACAP (DF)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: HABITAÇÃO E URBANIZAÇÃO
PL: R$    630.252.419,23
Lucros / Prejuízos no ano: R$    -2.372.388,41
ROE: -0.3800%","neg","HABITAÇÃO E URBANIZAÇÃO","Negativo"
"DF","INSTITUTO BRB DE DESENVOLVIMENTO HUMANO E RESPONSABILIDADE SOCIAL","OUTRO","Dependente",9679,1247,"SIM","SIM","SIM","51543.37","Sim",11,NA,NA,0,0,0,NA,"OUTROS","Distrito Federal","Centro-oeste",TRUE,TRUE,0.128835623514826,"         9.679,00","INSTITUTO BRB DE DESENVOLVIMENTO HUMANO E RESPONSABILIDADE SOCIAL (DF)
Dependência: Dependente
Possui todas as estruturas de Governança? Sim
Setor: OUTROS
PL: R$          9.679,00
Lucros / Prejuízos no ano: R$         1.247,00
ROE: 12.8800%","pos","OUTROS","Positivo"
"DF","PROFLORA S/A FLORESTAMENTO E REFLORESTAMENTO - EM LIQUIDAÇÃO","OUTRO","Não Dependente",27937695.92,-1400827.54,"SIM","SIM","NÃO","12742.87","Não",7,0,926626.79,0,0,0,NA,"DESENVOLVIMENTO","Distrito Federal","Centro-oeste",FALSE,TRUE,-0.0501411263123233,"    27.937.695,92","PROFLORA S/A FLORESTAMENTO E REFLORESTAMENTO - EM LIQUIDAÇÃO (DF)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Não
Setor: DESENVOLVIMENTO
PL: R$     27.937.695,92
Lucros / Prejuízos no ano: R$    -1.400.827,54
ROE: -5.0100%","neg","DESENVOLVIMENTO","Negativo"
"DF","SOCIEDADE DE ABASTECIMENTO DE BRASÍLIA S.A. - SAB - EM LIQUIDAÇÃO","ABASTECIMENTO","Dependente",1777844.65,382965.71,"SIM","SIM","NÃO","20497.759999999998","Não",179,48267.36,20879141.82,0,21446072.35,0,-21446072.35,"ABASTECIMENTO","Distrito Federal","Centro-oeste",FALSE,FALSE,0.215410109089115,"     1.777.844,65","SOCIEDADE DE ABASTECIMENTO DE BRASÍLIA S.A. - SAB - EM LIQUIDAÇÃO (DF)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: ABASTECIMENTO
PL: R$      1.777.844,65
Lucros / Prejuízos no ano: R$       382.965,71
ROE: 21.5400%","pos","ABASTECIMENTO","Positivo"
"DF","SOCIEDADE DE TRANSPORTES COLETIVOS DE BRASÍLIA LTDA. - TCB","TRANSPORTES","Dependente",63734748.08,6416973.71,"SIM","SIM","NÃO","21517.11","Não",565,7180961.18,4108886.69,0,14430773.67,6921797.83,-21352571.5,"TRANSPORTES","Distrito Federal","Centro-oeste",FALSE,FALSE,0.10068249900267,"    63.734.748,08","SOCIEDADE DE TRANSPORTES COLETIVOS DE BRASÍLIA LTDA. - TCB (DF)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: TRANSPORTES
PL: R$     63.734.748,08
Lucros / Prejuízos no ano: R$     6.416.973,71
ROE: 10.0700%","pos","TRANSPORTES","Positivo"
"ES","Banco de Desenvolvimento do Espírito Santo S/A - BANDES","FINANCEIRO","Não Dependente",219620000,-209203000,"SIM","SIM","SIM","27854.73","Não",163,1752000,40299000,0,0,117710000,-117710000,"FINANCEIRO","Espiríto Santo","Sudeste",TRUE,FALSE,-0.952568072124579,"   219.620.000,00","Banco de Desenvolvimento do Espírito Santo S/A - BANDES (ES)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: FINANCEIRO
PL: R$    219.620.000,00
Lucros / Prejuízos no ano: R$  -209.203.000,00
ROE: -95.2600%","bem_neg","FINANCEIRO","Negativo"
"ES","Banco do Estado do Espirito Santo - BANESTES","FINANCEIRO","Não Dependente",1608362000,213738000,"SIM","SIM","SIM","35580.32","Sim",2232,90958000,367546000,100028000,0,0,100028000,"FINANCEIRO","Espiríto Santo","Sudeste",TRUE,FALSE,0.132891724624183," 1.608.362.000,00","Banco do Estado do Espirito Santo - BANESTES (ES)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: FINANCEIRO
PL: R$  1.608.362.000,00
Lucros / Prejuízos no ano: R$   213.738.000,00
ROE: 13.2900%","pos","FINANCEIRO","Positivo"
"ES","Centrais de Abastecimento do Espírito Santo- CEASA","ABASTECIMENTO","Dependente",9974787.68,528059,"SIM","SIM","NÃO","9658.2999999999993","Não",54,4651,5640995.58,0,6867901.74,0,-6867901.74,"ABASTECIMENTO","Espiríto Santo","Sudeste",FALSE,FALSE,0.0529393724398553,"     9.974.787,68","Centrais de Abastecimento do Espírito Santo- CEASA (ES)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: ABASTECIMENTO
PL: R$      9.974.787,68
Lucros / Prejuízos no ano: R$       528.059,00
ROE: 5.2900%","pos","ABASTECIMENTO","Positivo"
"ES","Companhia de Habitação e Urbanização do Estado do Espirito Santo - COHAB - Em Liquidação","OUTRO","Dependente",15077000,-8000,"NÃO","SIM","NÃO","6877","Não",25,0,1803307.79,0,1857000,0,-1857000,"HABITAÇÃO E URBANIZAÇÃO","Espiríto Santo","Sudeste",FALSE,FALSE,-0.00053060953770644,"    15.077.000,00","Companhia de Habitação e Urbanização do Estado do Espirito Santo - COHAB - Em Liquidação (ES)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: HABITAÇÃO E URBANIZAÇÃO
PL: R$     15.077.000,00
Lucros / Prejuízos no ano: R$        -8.000,00
ROE: -0.0500%","neg","HABITAÇÃO E URBANIZAÇÃO","Negativo"
"ES","Companhia Espirito Santense de Saneamento - CESAN","SANEAMENTO","Não Dependente",2519733,192686,"SIM","SIM","SIM","27682.22","Sim",1373,245246159.59,198444578.08,0,0,45228437.74,-45228437.74,"SANEAMENTO","Espiríto Santo","Sudeste",TRUE,FALSE,0.0764708006761034,"     2.519.733,00","Companhia Espirito Santense de Saneamento - CESAN (ES)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: SANEAMENTO
PL: R$      2.519.733,00
Lucros / Prejuízos no ano: R$       192.686,00
ROE: 7.6500%","pos","SANEAMENTO","Positivo"
"ES","Companhia Estadual de Transportes Coletivos de Passageiros do Espirito Santo - CETURB","TRANSPORTES","Não Dependente",66626031.06,-724608.53,"SIM","SIM","NÃO","20975.16","Não",213,7033801.05,26015077.87,0,0,2361161.47,-2361161.47,"TRANSPORTES","Espiríto Santo","Sudeste",FALSE,FALSE,-0.0108757570948126,"    66.626.031,06","Companhia Estadual de Transportes Coletivos de Passageiros do Espirito Santo - CETURB (ES)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Não
Setor: TRANSPORTES
PL: R$     66.626.031,06
Lucros / Prejuízos no ano: R$      -724.608,53
ROE: -1.0900%","neg","TRANSPORTES","Negativo"
"GO","Agência de Fomento de Goiás S/A ¿ GOIÁSFOMENTO","DESENVOLVIMENTO","Não Dependente",189940468.58,8660778.75,"SIM","SIM","NÃO","22232.49","Não",112,0,21421196.05,0,0,0,0,"FINANCEIRO","Goiás","Centro-oeste",FALSE,FALSE,0.0455973327577225,"   189.940.468,58","Agência de Fomento de Goiás S/A ¿ GOIÁSFOMENTO (GO)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Não
Setor: FINANCEIRO
PL: R$    189.940.468,58
Lucros / Prejuízos no ano: R$     8.660.778,75
ROE: 4.5600%","pos","FINANCEIRO","Positivo"
"GO","Agência Goiana de Habitação - AGEHAB","SERVIÇOS PÚBLICOS","Não Dependente",11144312.69,-34421654.01,"SIM","SIM","NÃO","27459.14","Não",191,120629.61,26711897.41,0,0,35735655.41,-35735655.41,"HABITAÇÃO E URBANIZAÇÃO","Goiás","Centro-oeste",FALSE,FALSE,-3.08871932863901,"    11.144.312,69","Agência Goiana de Habitação - AGEHAB (GO)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Não
Setor: HABITAÇÃO E URBANIZAÇÃO
PL: R$     11.144.312,69
Lucros / Prejuízos no ano: R$   -34.421.654,01
ROE: -308.8700%","bem_neg","HABITAÇÃO E URBANIZAÇÃO","Negativo"
"GO","Celg Geração & Transmissão ¿ CELG G & T","ENERGIA","Não Dependente",984150934.06,71096919.55,"NÃO","SIM","SIM","42737.73","Não",189,64823029.27,43817440.31,0,0,29504196.49,-29504196.49,"ENERGIA","Goiás","Centro-oeste",FALSE,FALSE,0.0722418859642778,"   984.150.934,06","Celg Geração & Transmissão ¿ CELG G & T (GO)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Não
Setor: ENERGIA
PL: R$    984.150.934,06
Lucros / Prejuízos no ano: R$    71.096.919,55
ROE: 7.2200%","pos","ENERGIA","Positivo"
"GO","Central de Abastecimento de Goiás - CEASA","ABASTECIMENTO","Não Dependente",14615491.44,768883.21,"SIM","SIM","NÃO","24944.49","Não",86,51135.55,9639325.6,0,0,0,0,"ABASTECIMENTO","Goiás","Centro-oeste",FALSE,FALSE,0.0526074140685891,"    14.615.491,44","Central de Abastecimento de Goiás - CEASA (GO)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Não
Setor: ABASTECIMENTO
PL: R$     14.615.491,44
Lucros / Prejuízos no ano: R$       768.883,21
ROE: 5.2600%","pos","ABASTECIMENTO","Positivo"
"GO","Comp. de Armazéns e Silos do Est. de Goiás ¿ CASEGO","ABASTECIMENTO","Dependente",23188034.31,577685.08,"SIM","SIM","NÃO","1000","Não",0,0,67211.39,0,75991.39,0,-75991.39,"ABASTECIMENTO","Goiás","Centro-oeste",FALSE,FALSE,0.0249130681918505,"    23.188.034,31","Comp. de Armazéns e Silos do Est. de Goiás ¿ CASEGO (GO)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: ABASTECIMENTO
PL: R$     23.188.034,31
Lucros / Prejuízos no ano: R$       577.685,08
ROE: 2.4900%","pos","ABASTECIMENTO","Positivo"
"GO","Companhia de Desenvolvimento Econômico de Goiás ¿ CODEGO","DESENVOLVIMENTO","Não Dependente",134635287.05,103565648.81,"SIM","SIM","NÃO","40082.5","Não",0,0,12534201.55,0,0,0,0,"DESENVOLVIMENTO","Goiás","Centro-oeste",FALSE,FALSE,0.769231091485982,"   134.635.287,05","Companhia de Desenvolvimento Econômico de Goiás ¿ CODEGO (GO)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Não
Setor: DESENVOLVIMENTO
PL: R$    134.635.287,05
Lucros / Prejuízos no ano: R$   103.565.648,81
ROE: 76.9200%","bem_pos","DESENVOLVIMENTO","Positivo"
"GO","Companhia de Investimentos e Parcerias do Estado de Goiás - GOIASPARCERIAS","DESENVOLVIMENTO","Não Dependente",394333079.03,1435345.13,"SIM","SIM","NÃO","20000","Não",22,1612898.06,2287854.53,0,0,1005696.77,-1005696.77,"GESTÃO DE ATIVOS","Goiás","Centro-oeste",FALSE,FALSE,0.00363993082581541,"   394.333.079,03","Companhia de Investimentos e Parcerias do Estado de Goiás - GOIASPARCERIAS (GO)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Não
Setor: GESTÃO DE ATIVOS
PL: R$    394.333.079,03
Lucros / Prejuízos no ano: R$     1.435.345,13
ROE: 0.3600%","pos","GESTÃO DE ATIVOS","Positivo"
"GO","Empresa de Assistência Técnica, Extensão Rural e Pesquisa Agropecuária do Estado de Goiás ¿ EMATER-GO","ASSIS. TÉCNICA","Dependente",54465851.17,916322.89,"NÃO","SIM","NÃO","1000","Não",0,0,65673.23,0,63870,0,-63870,"PESQUISA E ASSISTÊNCIA TÉCNICA","Goiás","Centro-oeste",FALSE,FALSE,0.0168238055647006,"    54.465.851,17","Empresa de Assistência Técnica, Extensão Rural e Pesquisa Agropecuária do Estado de Goiás ¿ EMATER-GO (GO)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: PESQUISA E ASSISTÊNCIA TÉCNICA
PL: R$     54.465.851,17
Lucros / Prejuízos no ano: R$       916.322,89
ROE: 1.6800%","pos","PESQUISA E ASSISTÊNCIA TÉCNICA","Positivo"
"GO","Goiás Telecomunicações S/A - GOIASTELECOM","COMUNICAÇÕES","Dependente",1723305.09,1147391.77,"SIM","SIM","NÃO","20041.25","Não",6,0,955421.11,0,1350000,0,-1350000,"OUTROS","Goiás","Centro-oeste",FALSE,FALSE,0.665808844097362,"     1.723.305,09","Goiás Telecomunicações S/A - GOIASTELECOM (GO)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: OUTROS
PL: R$      1.723.305,09
Lucros / Prejuízos no ano: R$     1.147.391,77
ROE: 66.5800%","bem_pos","OUTROS","Positivo"
"GO","GOIÁSGAS","DISTRIBUIÇÃO DE GÁS","Não Dependente",691921.97,-512276.97,"SIM","SIM","NÃO","8720","Não",1,4690,152426.25,0,0,866696.04,-866696.04,"DISTRIBUIÇÃO DE GÁS","Goiás","Centro-oeste",FALSE,FALSE,-0.740368122723434,"       691.921,97","GOIÁSGAS (GO)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Não
Setor: DISTRIBUIÇÃO DE GÁS
PL: R$        691.921,97
Lucros / Prejuízos no ano: R$      -512.276,97
ROE: -74.0400%","bem_neg","DISTRIBUIÇÃO DE GÁS","Negativo"
"GO","Indústria Química do Estado de Goiás ¿ IQUEGO","GESTÃO DE ATIVOS","Não Dependente",13366938.33,498450.89,"SIM","SIM","SIM","21851.54","Não",51,0,6852000.55,0,0,11400905.48,-11400905.48,"SAÚDE","Goiás","Centro-oeste",TRUE,FALSE,0.0372898323979924,"    13.366.938,33","Indústria Química do Estado de Goiás ¿ IQUEGO (GO)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: SAÚDE
PL: R$     13.366.938,33
Lucros / Prejuízos no ano: R$       498.450,89
ROE: 3.7300%","pos","Demais","Positivo"
"GO","Metais de Goiás S/A - METAGO","GESTÃO DE ATIVOS","Dependente",22544055.87,24304.46,"SIM","SIM","NÃO","1000","Não",NA,0,186526.68,0,63870,0,-63870,"MINERAÇÃO","Goiás","Centro-oeste",FALSE,FALSE,0.00107808728563092,"    22.544.055,87","Metais de Goiás S/A - METAGO (GO)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: MINERAÇÃO
PL: R$     22.544.055,87
Lucros / Prejuízos no ano: R$        24.304,46
ROE: 0.1100%","pos","Demais","Positivo"
"GO","Metrobus Transporte Coletivo S.A","TRANSPORTES","Não Dependente",20014950.88,-13979332.82,"SIM","SIM","NÃO","18515.38","Não",441,4289220.71,39404509.55,0,0,4546337.51,-4546337.51,"TRANSPORTES","Goiás","Centro-oeste",FALSE,FALSE,-0.698444522987508,"    20.014.950,88","Metrobus Transporte Coletivo S.A (GO)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Não
Setor: TRANSPORTES
PL: R$     20.014.950,88
Lucros / Prejuízos no ano: R$   -13.979.332,82
ROE: -69.8400%","bem_neg","TRANSPORTES","Negativo"
"GO","Saneamento de Goiás S.A ¿ SANEAGO","SANEAMENTO","Não Dependente",2801329000,315731000,"SIM","SIM","SIM","82529","Sim",5836,188099000,1002856000,26089000,0,0,26089000,"SANEAMENTO","Goiás","Centro-oeste",TRUE,FALSE,0.112707575582875," 2.801.329.000,00","Saneamento de Goiás S.A ¿ SANEAGO (GO)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Sim
Setor: SANEAMENTO
PL: R$  2.801.329.000,00
Lucros / Prejuízos no ano: R$   315.731.000,00
ROE: 11.2700%","pos","SANEAMENTO","Positivo"
"MT","AGÊNCIA DE FOMENTO DO ESTADO DE MATO GROSSO S A - DESENVOLVE - MT","OUTRO","Não Dependente",14395973.61,1415017.76,"SIM","SIM","NÃO","18250.900000000001","Não",12,12576891.43,10941318.05,0,0,0,NA,"FINANCEIRO","Mato Grosso","Centro-oeste",FALSE,TRUE,0.0982926058587016,"    14.395.973,61","AGÊNCIA DE FOMENTO DO ESTADO DE MATO GROSSO S A - DESENVOLVE - MT (MT)
Dependência: Não Dependente
Possui todas as estruturas de Governança? Não
Setor: FINANCEIRO
PL: R$     14.395.973,61
Lucros / Prejuízos no ano: R$     1.415.017,76
ROE: 9.8300%","pos","FINANCEIRO","Positivo"
"MT","CENTRAL DE ABASTECIMENTO DO ESTADO DE MATO GROSSO - CEASA MT","ABASTECIMENTO","Dependente",751700,3711.01,"SIM","SIM","NÃO","18450","Não",0,0,3012405.89,0,1484631.87,0,-1484631.87,"ABASTECIMENTO","Mato Grosso","Centro-oeste",FALSE,FALSE,0.00493682320074498,"       751.700,00","CENTRAL DE ABASTECIMENTO DO ESTADO DE MATO GROSSO - CEASA MT (MT)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: ABASTECIMENTO
PL: R$        751.700,00
Lucros / Prejuízos no ano: R$         3.711,01
ROE: 0.4900%","pos","ABASTECIMENTO","Positivo"
"MT","COMPANHIA MATOGROSSENSE DE MINERAÇÃO - METAMAT","OUTRO","Dependente",12250785,-578300,"SIM","SIM","NÃO","25225","Não",63,178960,1151338,0,19215207,0,-19215207,"MINERAÇÃO","Mato Grosso","Centro-oeste",FALSE,FALSE,-0.0472051382829753,"    12.250.785,00","COMPANHIA MATOGROSSENSE DE MINERAÇÃO - METAMAT (MT)
Dependência: Dependente
Possui todas as estruturas de Governança? Não
Setor: MINERAÇÃO
PL: R$     12.250.785,00
Lucros / Prejuízos no ano: R$      -578.300,00
ROE: -4.7200%","neg","Demais","Negativo"
"MT","EMPRESA MATOGROSSENSE DE PESQUISA, ASSISTÊNCIA E EXTENSÃO RURAL - EMPAER MT","SEAF","Dependente",92544051.33,-4278318.93,"SIM","SIM","CONTROLE INTERNO",NA,"Não",625,0,144521243.85,0,146988294.22,0,-146988294.22,"PESQUISA E ASSISTÊNCIA TÉCNICA","Mato Grosso","Centro-oeste",TRUE,FALSE,-0.0462300803618816,"    92.544.051,33","EMPRESA MATOGROSSENSE DE PESQUISA, ASSISTÊNCIA E EXTENSÃO RURAL - EMPAER MT (MT)
Dependência: Dependente
Possui todas as estruturas de Governança? Sim
Setor: PESQUISA E ASSISTÊNCIA TÉCNICA
PL: R$     92.544.051,33
Lucros / Prejuízos no ano: R$    -4.278.318,93
ROE: -4.6200%","neg","PESQUISA E ASSISTÊNCIA TÉCNICA","Negativo"
